"PersonNumber","FirstName","LastName","GenderAsString","ParlGroupName","PartyName","PartyAbbreviation","DateJoining","DateLeaving","DateElection","DateOath","DateResignation","DateOfBirth","DateOfDeath"
1,"Pierre","Aguet","m","Groupe socialiste","Parti socialiste suisse","PSS","1995-12-04T00:00:00","1999-12-05T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","1999-12-05T00:00:00","1938-03-02T00:00:00",
2,"Heinz","Allenspach","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1979-11-26T00:00:00","1995-12-03T00:00:00","1979-11-26T00:00:00","1979-11-26T00:00:00","1995-12-03T00:00:00","1928-02-22T00:00:00","2022-09-16T00:00:00"
6,"Manfred","Aregger","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1995-12-04T00:00:00","1999-12-05T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","1999-12-05T00:00:00","1931-01-27T00:00:00",
7,"Geneviève","Aubry","f","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1979-11-26T00:00:00","1995-12-03T00:00:00","1979-11-26T00:00:00","1979-11-26T00:00:00","1995-12-03T00:00:00","1928-03-04T00:00:00",
8,"Rosmarie","Bär","f","Groupe des VERT-E-S","Liste libre (BE)","LL","1987-11-30T00:00:00","1995-12-03T00:00:00","1987-11-30T00:00:00","1987-11-30T00:00:00","1995-12-03T00:00:00","1947-12-01T00:00:00",
9,"Ruedi","Baumann","m","Groupe des VERT-E-S","Les VERT-E-S suisses","VERT-E-S","1995-12-04T00:00:00","2003-11-30T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","2003-11-30T00:00:00","1947-11-11T00:00:00",
10,"Peter","Baumberger","m","Le Groupe du Centre. Le Centre. PEV.",,,"1995-12-04T00:00:00","1999-12-05T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","1999-12-05T00:00:00","1942-09-03T00:00:00","2019-09-07T00:00:00"
11,"Ursula","Bäumlin","f","Groupe socialiste","Parti socialiste suisse","PSS","1995-12-04T00:00:00","1998-12-15T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","1998-12-15T00:00:00","1938-05-12T00:00:00",
12,"Christine","Beerli","f","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","2002-11-25T00:00:00","2003-11-30T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","2003-11-30T00:00:00","1953-03-26T00:00:00",
13,"Thierry","Béguin","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1995-12-04T00:00:00","1999-12-05T00:00:00","1987-11-30T00:00:00","1987-11-30T00:00:00","1999-12-05T00:00:00","1947-12-02T00:00:00",
