"PersonNumber","FirstName","LastName","GenderAsString","CantonAbbreviation","CouncilAbbreviation","PartyAbbreviation","DateJoining","DateLeaving"
3584,"Georg","Wander","m","BE","CN","PAB","1943-12-06T00:00:00","1946-02-01T00:00:00"
2484,"Gustav","Keller","m","ZH","CE","PRD","1922-12-04T00:00:00","1930-09-01T00:00:00"
3120,"Johann Jakob","Schäppi","m","ZH","CN","PRD","1885-03-09T00:00:00","1899-12-03T00:00:00"
3632,"Karl","Wick","m","LU","CN","Cons*","1931-12-01T00:00:00","1963-12-01T00:00:00"
3532,"Andreas Rudolf","von Planta","m","GR","CN","Lib*","1848-11-06T00:00:00","1869-12-05T00:00:00"
3532,"Andreas Rudolf","von Planta","m","GR","CN","Lib*","1848-11-06T00:00:00","1869-12-05T00:00:00"
3532,"Andreas Rudolf","von Planta","m","GR","CN","Lib*","1848-11-06T00:00:00","1869-12-05T00:00:00"
1145,"Yvan","Perrin","m","NE","CN","UDC","2003-12-01T00:00:00","2007-12-02T00:00:00"
1163,"Gisèle","Ory","f","NE","CE","PSS","2007-12-03T00:00:00","2009-09-20T00:00:00"
3413,"Henri-A.-F.","Thélin","m","VD","CN","PRD","1900-03-19T00:00:00","1912-03-01T00:00:00"
3451,"Niklaus","Tschudi","m","GL","CN","Lib*","1872-12-02T00:00:00","1884-11-30T00:00:00"
196,"Peter","Schmid","m","TG","CN","PES","1987-11-30T00:00:00","1995-12-03T00:00:00"
3279,"Theodor","Sourbeck","m","BE","CN","PRD","1896-12-07T00:00:00","1899-12-03T00:00:00"
179,"Jean-François","Roth","m","JU","CE","PDC","1987-11-30T00:00:00","1994-12-16T00:00:00"
2402,"Michel","Jaccard","m","VD","CN","PRD","1951-12-03T00:00:00","1955-12-04T00:00:00"
1245,"Anton","Stadler","m","SG","CN","CCS","1961-03-13T00:00:00","1963-12-01T00:00:00"
36,"Jakob","Bürgi","m","SZ","CN","PDC","1987-11-30T00:00:00","1995-12-03T00:00:00"
3830,"Marina","Carobbio Guscetti","f","TI","CN","PSS","2007-12-03T00:00:00","2011-12-04T00:00:00"
2427,"Charles Louis","Jeanrenaud","m","NE","CE","PRD","1848-11-06T00:00:00","1854-07-01T00:00:00"
1114,"Marianne","Kleiner","f","AR","CN","PRD","2007-12-03T00:00:00","2011-12-04T00:00:00"
1793,"Eric","Choisy","m","GE","CE","PLS","1963-12-02T00:00:00","1971-11-28T00:00:00"
575,"Valentine","Friedli","f","JU","CN","PSS","1983-11-28T00:00:00","1987-11-29T00:00:00"
2907,"Marc-Ernest","Peter","m","GE","CN","PRD","1911-12-04T00:00:00","1919-11-01T00:00:00"
2383,"Alois","Hürlimann","m","ZG","CN","CCS","1963-12-02T00:00:00","1979-11-25T00:00:00"
2628,"Gregor","Lützelschwab","m","AG","CN","Cons*","1851-12-01T00:00:00","1852-06-01T00:00:00"
1507,"Costantino","Bernasconi","m","TI","CN","PRD","1882-06-05T00:00:00","1893-10-01T00:00:00"
373,"Helen","Leumann","f","LU","CE","PRD","2007-12-03T00:00:00","2011-12-04T00:00:00"
3666,"Karl J.","Wunderli","m","ZH","CN","PAB","1919-12-01T00:00:00","1925-12-06T00:00:00"
1957,"Gottlieb","Duttweiler","m","BE","CN","AdI","1951-12-03T00:00:00","1962-06-08T00:00:00"
