,46,47,48,49,50,51
12,1.0,0.0,0.0,0.0,0.0,0.0
30,1.0,1.0,0.0,0.0,0.0,0.0
37,1.0,1.0,1.0,0.0,0.0,0.0
49,1.0,0.0,0.0,0.0,0.0,0.0
57,1.0,1.0,1.0,0.0,0.0,0.0
60,1.0,0.0,0.0,0.0,0.0,0.0
72,1.0,1.0,0.0,0.0,0.0,0.0
85,1.0,1.0,1.0,0.0,0.0,0.0
133,1.0,1.0,0.44,0.0,0.0,0.0
168,1.0,0.0,0.0,0.0,0.0,0.0
173,1.0,1.0,1.0,0.0,0.0,0.0
194,1.0,1.0,0.06,0.0,0.0,0.0
195,1.0,0.88,0.0,0.0,0.0,0.0
211,1.0,0.0,0.0,0.0,0.0,0.0
246,1.0,1.0,0.0,0.0,0.0,0.0
267,0.24,0.0,0.0,0.0,0.0,0.0
275,1.0,1.0,1.0,0.0,0.0,0.0
276,1.0,1.0,1.0,0.0,0.0,0.0
277,1.0,1.0,1.0,1.0,0.0,0.0
280,1.0,1.0,0.0,0.0,0.0,0.0
370,1.0,1.0,1.0,0.0,0.0,0.0
371,1.0,1.0,0.0,0.0,0.0,0.0
372,1.0,1.0,1.0,0.0,0.0,0.0
373,1.0,1.0,1.0,0.0,0.0,0.0
374,1.0,1.0,1.0,0.0,0.0,0.0
375,1.0,0.0,0.0,0.0,0.0,0.0
378,1.0,1.0,0.0,0.0,0.0,0.0
379,1.0,1.0,0.0,0.0,0.0,0.0
398,1.0,0.0,0.0,0.0,0.0,0.0
403,1.0,1.0,0.0,0.0,0.0,0.0
408,1.0,1.0,1.0,0.55,0.0,0.0
409,1.0,1.0,1.0,1.0,0.0,0.0
425,1.0,1.0,1.0,0.0,0.0,0.0
528,1.0,1.0,1.0,0.0,0.0,0.0
529,1.0,0.0,0.0,0.0,0.0,0.0
530,1.0,1.0,0.0,0.0,0.0,0.0
531,1.0,1.0,0.62,0.0,0.0,0.0
532,1.0,1.0,1.0,0.0,0.0,0.0
534,0.62,0.0,0.0,0.0,0.0,0.0
535,1.0,0.0,0.0,0.0,0.0,0.0
536,1.0,0.5,0.0,0.0,0.0,0.0
537,1.0,1.0,0.0,0.0,0.0,0.0
538,1.0,1.0,1.0,0.0,0.0,0.0
539,1.0,1.0,0.0,0.0,0.0,0.0
540,1.0,1.0,1.0,1.0,1.0,0.0
541,1.0,1.0,0.0,0.0,0.0,0.0
805,0.63,1.0,0.0,0.0,0.0,0.0
825,0.32,1.0,1.0,1.0,1.0,1.0
107,0.0,1.0,0.0,0.0,0.0,0.0
466,0.0,1.0,1.0,1.0,1.0,0.0
512,0.0,1.0,0.75,0.0,0.0,0.0
1107,0.0,1.0,0.0,0.0,0.0,0.0
1149,0.0,1.0,1.0,1.0,0.0,0.0
1161,0.0,1.0,1.0,0.06,0.0,0.0
1162,0.0,1.0,1.0,1.0,1.0,1.0
1163,0.0,1.0,0.44,0.0,0.0,0.0
1256,0.0,0.94,1.0,1.0,0.0,0.0
1314,0.0,0.5,0.0,0.0,0.0,0.0
3831,0.0,0.12,1.0,1.0,0.88,0.0
