,46,47,48,49,50,51
9,1.0,0.0,0.0,0.0,0.0,0.0
14,1.0,0.82,0.0,0.0,0.0,0.0
15,1.0,1.0,1.0,1.0,0.0,0.0
21,1.0,0.0,0.0,0.62,0.0,0.0
26,1.0,1.0,1.0,1.0,0.0,0.0
28,1.0,1.0,1.0,1.0,0.0,0.0
33,1.0,0.57,0.0,0.0,0.0,0.0
34,1.0,1.0,0.0,0.0,0.0,0.0
56,1.0,0.0,0.0,0.0,0.0,0.0
63,1.0,0.0,0.0,0.0,0.0,0.0
70,1.0,1.0,0.0,0.0,0.0,0.0
74,0.42,0.0,0.0,0.0,1.0,0.53
76,1.0,1.0,0.24,0.0,0.0,0.0
77,1.0,0.0,0.0,0.0,0.0,0.0
81,1.0,0.0,0.0,0.0,0.0,0.0
83,1.0,0.0,0.0,0.0,0.0,0.0
84,0.49,0.0,0.0,0.0,0.0,0.0
91,1.0,1.0,1.0,1.0,1.0,0.0
94,1.0,1.0,1.0,0.0,0.0,0.0
95,0.37,0.0,0.0,0.0,0.0,0.0
97,1.0,1.0,1.0,1.0,0.0,0.0
100,1.0,1.0,1.0,0.0,0.0,0.0
101,1.0,1.0,0.0,0.0,0.0,0.0
105,1.0,1.0,1.0,0.0,0.0,0.0
107,1.0,0.0,0.0,0.0,0.0,0.0
108,1.0,1.0,0.0,0.0,0.0,0.0
111,1.0,0.0,0.0,0.0,0.0,0.0
113,1.0,0.64,0.0,0.0,0.0,0.0
131,1.0,0.7,0.0,0.0,0.0,0.0
138,1.0,0.32,0.0,0.0,0.0,0.0
140,1.0,1.0,0.3,0.0,0.0,0.0
142,1.0,0.0,0.0,0.0,0.0,0.0
146,1.0,1.0,0.3,0.0,0.0,0.0
156,1.0,0.0,0.0,0.0,0.0,0.0
170,1.0,0.0,0.0,0.0,0.0,0.0
172,1.0,1.0,1.0,0.0,0.0,0.0
193,1.0,0.0,0.0,0.0,0.0,0.0
198,1.0,1.0,0.0,0.0,0.0,0.0
205,1.0,0.0,0.0,0.0,0.0,0.0
210,1.0,0.0,0.0,0.0,0.0,0.0
214,1.0,1.0,1.0,1.0,1.0,0.0
217,1.0,0.0,0.0,0.0,0.0,0.0
219,1.0,0.2,0.0,0.0,0.0,0.0
221,1.0,0.18,0.0,0.0,0.0,0.0
224,1.0,0.0,0.0,1.0,0.63,0.0
226,1.0,0.0,0.0,0.0,0.0,0.0
229,1.0,1.0,0.0,0.0,0.0,0.0
234,1.0,0.0,0.0,0.0,0.0,0.0
235,1.0,0.0,0.0,0.0,0.0,0.0
241,1.0,1.0,1.0,0.0,0.0,0.0
245,0.18,0.0,0.0,0.0,0.0,0.0
254,1.0,1.0,0.0,0.0,0.0,0.0
255,0.61,0.0,0.0,0.0,0.0,0.0
264,1.0,1.0,0.0,0.0,0.0,0.0
268,1.0,1.0,1.0,0.0,0.0,0.0
269,1.0,0.0,0.0,0.0,0.0,0.0
273,1.0,1.0,1.0,0.0,0.0,0.0
279,1.0,0.0,0.0,0.0,0.0,0.0
298,1.0,0.0,0.0,0.0,0.0,0.0
301,1.0,1.0,0.0,0.0,0.0,0.0
303,1.0,0.0,0.0,0.0,0.0,0.0
304,1.0,1.0,1.0,0.0,0.0,0.0
305,1.0,1.0,0.44,0.0,0.0,0.0
307,1.0,1.0,1.0,1.0,0.81,0.0
309,1.0,0.88,0.0,0.0,0.0,0.0
310,0.62,0.0,0.0,0.0,0.0,0.0
311,1.0,0.76,0.0,0.0,0.0,0.0
313,1.0,1.0,0.0,0.0,0.0,0.0
314,0.49,0.0,0.0,0.0,0.0,0.0
315,1.0,0.0,0.0,0.0,0.0,0.0
316,1.0,1.0,0.0,0.0,0.0,0.0
317,1.0,0.0,0.0,0.0,0.0,0.0
318,1.0,1.0,1.0,0.0,0.0,0.0
319,1.0,1.0,1.0,1.0,0.0,0.0
321,1.0,1.0,1.0,0.0,0.0,0.0
322,1.0,0.0,0.0,0.0,0.0,0.0
323,1.0,0.0,0.0,0.0,0.0,0.0
324,1.0,0.38,0.0,0.0,0.0,0.0
325,1.0,1.0,0.0,0.0,0.0,0.0
326,1.0,1.0,0.0,0.0,0.0,0.0
328,1.0,1.0,0.0,0.0,0.0,0.0
331,1.0,1.0,0.0,0.0,0.0,0.0
332,1.0,0.0,0.0,0.0,0.0,0.0
334,1.0,0.82,0.0,0.0,0.0,0.0
335,1.0,0.0,0.0,0.0,0.0,0.0
336,1.0,1.0,1.0,0.0,0.0,0.0
337,1.0,0.0,0.0,0.0,0.0,0.0
338,1.0,0.0,0.0,0.0,0.0,0.0
341,1.0,1.0,0.0,0.0,0.0,0.0
342,1.0,0.0,0.0,0.0,0.0,0.0
343,1.0,1.0,0.0,0.0,0.0,0.0
344,1.0,1.0,0.0,0.0,0.0,0.0
345,1.0,1.0,1.0,0.55,0.0,0.0
346,1.0,0.76,0.0,0.0,0.0,0.0
348,1.0,1.0,0.62,0.0,0.0,0.0
349,1.0,1.0,1.0,0.0,0.0,0.0
351,1.0,0.0,0.0,0.0,0.0,0.0
352,1.0,1.0,0.7,0.0,0.0,0.0
353,1.0,0.0,0.0,0.0,0.0,0.0
356,1.0,0.38,0.0,0.0,0.0,0.0
358,1.0,1.0,1.0,0.0,0.0,0.0
359,1.0,1.0,1.0,0.3,0.0,0.0
360,1.0,1.0,1.0,0.0,0.0,0.0
361,1.0,1.0,1.0,0.0,0.0,0.0
362,1.0,0.0,0.0,0.0,0.0,0.0
