,PersonNumber,FirstName,LastName,GenderAsString,ParlGroupName,PartyName,PartyAbbreviation,DateJoining,DateLeaving,DateElection,DateOath,DateResignation,DateOfBirth,DateOfDeath
5,9,Ruedi,Baumann,m,Groupe des VERT-E-S,Les VERT-E-S suisses,VERT-E-S,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1947-11-11T00:00:00,
8,12,Christine,Beerli,f,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2002-11-25T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1953-03-26T00:00:00,
10,14,Duri,Bezzola,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2003-12-01T00:00:00,2007-03-04T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-03-04T00:00:00,1942-06-23T00:00:00,
11,15,Max,Binder,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,1947-11-26T00:00:00,
17,21,Christoph,Blocher,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2011-12-05T00:00:00,2014-05-31T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2014-05-31T00:00:00,1940-10-11T00:00:00,
22,26,Roland F.,Borer,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,1951-01-27T00:00:00,
24,28,Toni,Bortoluzzi,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,1947-02-16T00:00:00,
26,30,Christiane,Brunner,f,Groupe socialiste,Parti socialiste suisse,PSS,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1947-03-23T00:00:00,
29,33,Cécile,Bühlmann,f,Groupe des VERT-E-S,Les VERT-E-S suisses,VERT-E-S,2005-11-19T00:00:00,2006-03-04T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2006-03-05T00:00:00,1949-12-03T00:00:00,
30,34,Gerold,Bührer,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1948-06-23T00:00:00,
33,37,Rolf,Büttiker,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1950-06-27T00:00:00,
45,49,Anton,Cottier,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,1995-12-04T00:00:00,2003-11-30T00:00:00,1987-11-30T00:00:00,1987-11-30T00:00:00,2003-11-30T00:00:00,1943-12-04T00:00:00,2006-11-03T00:00:00
46,50,Pascal,Couchepin,m,,PLR.Les Libéraux-Radicaux,PLR,2009-01-01T00:00:00,2009-10-31T00:00:00,1998-03-11T00:00:00,2009-01-01T00:00:00,2009-10-31T00:00:00,1942-04-05T00:00:00,
52,56,Jean-Nils,de Dardel,m,Groupe socialiste,Parti socialiste suisse,PSS,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1943-11-04T00:00:00,
53,57,Eugen,David,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-11-25T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1945-09-03T00:00:00,
54,58,Joseph,Deiss,m,,Parti démocrate-chrétien suisse,PDC,2005-01-01T00:00:00,2006-07-31T00:00:00,1999-03-11T00:00:00,2005-01-01T00:00:00,2006-07-31T00:00:00,1946-01-18T00:00:00,
56,60,Toni,Dettling,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,1999-12-06T00:00:00,2003-11-30T00:00:00,1999-12-06T00:00:00,1999-12-06T00:00:00,2003-11-30T00:00:00,1943-06-05T00:00:00,
57,61,Verena,Diener Lenz,f,Groupe vert'libéral,Parti vert'libéral,pvl,2015-11-30T00:00:00,2015-12-07T00:00:00,2015-10-18T00:00:00,2015-11-30T00:00:00,2015-12-07T00:00:00,1949-03-27T00:00:00,
58,63,Rosmarie,Dormann,f,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1947-03-27T00:00:00,
64,70,Jacques-Simon,Eggly,m,Groupe libéral-radical,Parti libéral démocrate,PLD,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1942-09-04T00:00:00,
66,72,Simon,Epiney,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1950-02-12T00:00:00,
68,74,Christoph,Eymann,m,Groupe libéral-radical,Parti libéral démocrate,PLD,2019-12-02T00:00:00,2021-11-28T00:00:00,2019-10-20T00:00:00,2019-12-02T00:00:00,2021-11-28T00:00:00,1951-01-15T00:00:00,
70,76,Hugo,Fasel,m,Groupe des VERT-E-S,Parti chrétien-social,PCS,2007-12-03T00:00:00,2008-11-30T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2008-11-30T00:00:00,1955-10-04T00:00:00,
71,77,Lisbeth,Fehr,f,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,1999-12-06T00:00:00,2003-11-30T00:00:00,1999-12-06T00:00:00,1999-12-06T00:00:00,2003-11-30T00:00:00,1938-04-14T00:00:00,
75,81,Ulrich,Fischer,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1940-02-02T00:00:00,
77,83,Claude,Frey,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1943-07-16T00:00:00,
78,84,Walter,Frey,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,1999-12-06T00:00:00,2001-11-25T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2001-11-25T00:00:00,1943-07-30T00:00:00,
79,85,Bruno,Frick,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1953-05-31T00:00:00,
85,91,Ulrich,Giezendanner,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2015-11-30T00:00:00,2019-12-01T00:00:00,2015-10-18T00:00:00,2015-11-30T00:00:00,2019-12-01T00:00:00,1953-10-31T00:00:00,
88,94,Christine,Goll,f,Groupe socialiste,Parti socialiste suisse,PSS,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1956-12-10T00:00:00,
89,95,Ruth,Gonseth,f,Groupe des VERT-E-S,Les VERT-E-S suisses,VERT-E-S,1995-12-04T00:00:00,2001-05-31T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2001-06-04T00:00:00,1943-05-31T00:00:00,
91,97,Andreas,Gross,m,Groupe socialiste,Parti socialiste suisse,PSS,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,1952-08-21T00:00:00,
94,100,Hans Rudolf,Gysin,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1940-12-29T00:00:00,
95,101,Barbara,Haering,f,Groupe socialiste,Parti socialiste suisse,PSS,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1953-09-20T00:00:00,
99,105,Andrea,Hämmerle,m,Groupe socialiste,Parti socialiste suisse,PSS,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1946-11-09T00:00:00,
101,107,Trix,Heberlein,f,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1942-07-17T00:00:00,
102,108,Rolf,Hegetschweiler,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1937-12-03T00:00:00,
