,topic_idx,topic_score,manual_check,topic_words,transcript_words
19,6,0.154,1,crédit - budget - dépense - impôt - montant - augmentation - endettement - imposition - compte - crise,"['budget', 'dépense', 'augmentation', 'crédit', 'coupe', 'personnel', 'supplément', 'place', 'centre', 'incidence']"
26,10,0.091,0,sanction - développement - coopération - neutralité - objectif - délégation - embargo - stratégie - oeuvre - aide,"['prévention', 'budget', 'produit', 'problème', 'aide', 'multiple', 'objectif', 'peine', 'serpent', 'dossier']"
266,0,0.539,1,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['charge', 'assurance', 'prix', 'modèle', 'critère', 'prise', 'progrès', 'économicité', 'fabricant', 'adéquation']"
305,10,0.02,1,sanction - développement - coopération - neutralité - objectif - délégation - embargo - stratégie - oeuvre - aide,"['amende', 'banque', 'sanction', 'déduction', 'autorité', 'contribuable', 'extérieur', 'risque', 'version', 'étranger']"
344,9,0.186,1,travail - chômage - travailleur - convention - salaire - employeur - harcèlement - entreprise - ratification - emploi,"['statistique', 'chômage', 'placement', 'office', 'comparaison', 'chiffre', 'chômeur', 'registre', 'profession', 'marché']"
362,9,0.084,1,travail - chômage - travailleur - convention - salaire - employeur - harcèlement - entreprise - ratification - emploi,"['cotisation', 'prestation', 'intégration', 'effort', 'revenu', 'preuve', 'totalisation', 'logique', 'étranger', 'seuil']"
524,3,0.248,0,entreprise - prix - marché - produit - consommateur - douane - concurrence - tourisme - secteur - taxe,"['assureur', 'recours', 'idée', 'élément', 'divergence', 'intervention', 'coût', 'intérêt', 'risque', 'sujet']"
612,0,0.306,0,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['avion', 'compagnie', 'concitoyen', 'modification', 'emploi', 'centaine', 'millier', 'adjonction', 'aéroport', 'intention']"
656,20,0.156,0,invalidité - analyse - assurance - chose - application - phase - temps - évaluation - base - élément,"['application', 'base', 'soir', 'valse', 'feuille', 'donnée', 'temps', 'épidémie', 'numérote', 'téléchargeront']"
731,9,0.153,1,travail - chômage - travailleur - convention - salaire - employeur - harcèlement - entreprise - ratification - emploi,"['travail', 'solution', 'paquet', 'monde', 'âge', 'partenaire', 'insertion', 'difficulté', 'aide', 'montant']"
747,4,0.13,1,enfant - femme - parent - accueil - mariage - congé - égalité - famille - travail - vie,"['pauvreté', 'monitoring', 'lutte', 'prévention', 'coronavirus', 'indicateur', 'organisation', 'crise', 'population', 'ravage']"
804,9,0.071,1,travail - chômage - travailleur - convention - salaire - employeur - harcèlement - entreprise - ratification - emploi,"['dette', 'cap', 'composante', 'tissu', 'assurance', 'augmentation', 'volontier', 'pme', 'cotisation', 'chômage']"
868,11,0.064,1,asile - donnée - requérant - réfugié - information - système - demande - séjour - étranger - intégration,"['frontière', 'franchissement', 'application', 'famille', 'temps', 'part', 'raison']"
951,4,0.468,1,enfant - femme - parent - accueil - mariage - congé - égalité - famille - travail - vie,"['enfant', 'mariage', 'couple', 'adoptif', 'parent', 'famille', 'sondage', 'sécurité', 'conjoint', 'progrès']"
979,16,0.134,1,formation - école - apprentissage - étudiant - stage - niveau - compétence - maturité - travail - enseignant,"['université', 'proportion', 'femme', 'nomination', 'école', 'niveau', 'coordination', 'encouragement', 'organe', 'direction']"
1027,15,0.045,1,violence - terrorisme - sécurité - menace - organisation - victime - lutte - paix - terroriste - attaque,"['organisation', 'terrorisme', 'terroriste', 'définition', 'flou', 'différenciation', 'rempart', 'démocratie', 'libération', 'peine']"
1046,1,0.127,0,transparence - vote - divergence - surveillance - travail - point - information - négociation - membre - manière,"['registre', 'adaptation', 'technologie', 'donnée', 'blockchain', 'unanimité', 'faillite', 'séance', 'transfert', 'civil']"
1068,1,0.16,0,transparence - vote - divergence - surveillance - travail - point - information - négociation - membre - manière,"['donnée', 'horaire', 'connaissance', 'relevé', 'réduction', 'travail', 'indemnité', 'genre', 'accès', 'information']"
